,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
33482,카드,D-20181001-0000626-01,2018-10-02 오전 8:56,2018-10-16 오전 1:11,51810,248.0,1,네이버 페이,2018-10-01,2018,10,Monday,40,주중,2018-10-02,2018-10-16,14 days,14
33502,카드,D-20181001-0000729-01,2018-10-02 오후 6:32,2018-10-13 오전 4:50,76400,608.0,1,네이버 페이,2018-10-01,2018,10,Monday,40,주중,2018-10-02,2018-10-13,11 days,11
33508,카드,D-20181001-0000744-01,2018-10-02 오후 6:32,2018-10-10 오후 12:10,78870,1070.0,1,네이버 페이,2018-10-01,2018,10,Monday,40,주중,2018-10-02,2018-10-10,8 days,8
33547,무통장입금,D-20181002-0000113-01,2018-10-02 오후 6:32,2018-10-13 오전 6:13,86790,449.0,1,네이버 페이,2018-10-02,2018,10,Tuesday,40,주중,2018-10-02,2018-10-13,11 days,11
33573,카드,D-20181002-0000248-01,2018-10-02 오후 6:32,2018-10-13 오전 6:23,20460,215.0,1,네이버 페이,2018-10-02,2018,10,Tuesday,40,주중,2018-10-02,2018-10-13,11 days,11
33574,카드,D-20181002-0000248-02,2018-10-02 오후 6:32,2018-10-12 오전 6:27,51810,392.0,1,네이버 페이,2018-10-02,2018,10,Tuesday,40,주중,2018-10-02,2018-10-12,10 days,10
33624,카드,D-20181002-0000549-01,2018-10-05 오전 9:16,2018-10-13 오전 7:05,56760,446.0,1,네이버 페이,2018-10-02,2018,10,Tuesday,40,주중,2018-10-05,2018-10-13,8 days,8
33650,카드,D-20181003-0000043-01,2018-10-05 오전 9:16,2018-10-13 오전 7:57,75570,1069.0,1,네이버 페이,2018-10-03,2018,10,Wednesday,40,주중,2018-10-05,2018-10-13,8 days,8
33651,카드,D-20181003-0000052-01,2018-10-05 오전 9:16,2018-10-13 오전 7:57,82170,45.0,1,네이버 페이,2018-10-03,2018,10,Wednesday,40,주중,2018-10-05,2018-10-13,8 days,8
33671,카드,D-20181003-0000174-01,2018-10-05 오전 9:16,2018-10-26 오전 12:56,75570,437.0,1,네이버 페이,2018-10-03,2018,10,Wednesday,40,주중,2018-10-05,2018-10-26,21 days,21
33688,카드,D-20181003-0000291-01,2018-10-05 오전 9:16,2018-10-14 오전 5:41,157740,603.0,2,네이버 페이,2018-10-03,2018,10,Wednesday,40,주중,2018-10-05,2018-10-14,9 days,9
33709,카드,D-20181003-0000419-01,2018-10-05 오전 9:16,2018-10-14 오전 6:22,116000,605.0,1,네이버 페이,2018-10-03,2018,10,Wednesday,40,주중,2018-10-05,2018-10-14,9 days,9
33844,카드,D-20181004-0000629-02,2018-10-05 오후 6:14,2018-10-15 오전 1:02,55110,388.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-05,2018-10-15,10 days,10
33851,카드,D-20181004-0000667-01,2018-10-05 오후 6:14,2018-10-13 오전 10:20,68970,38.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-05,2018-10-13,8 days,8
33852,카드,D-20181004-0000676-01,2018-10-05 오후 6:14,2018-10-13 오전 10:20,70620,42.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-05,2018-10-13,8 days,8
33862,카드,D-20181004-0000737-01,2018-10-10 오후 12:50,2018-10-18 오전 1:26,83050,962.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-10,2018-10-18,8 days,8
33875,카드,D-20181004-0000851-01,2018-10-05 오후 6:14,2018-10-14 오전 9:11,56760,172.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-05,2018-10-14,9 days,9
33877,카드,D-20181005-0000027-01,2018-10-05 오후 6:14,2018-10-14 오전 9:22,58410,455.0,1,네이버 페이,2018-10-05,2018,10,Friday,40,주중,2018-10-05,2018-10-14,9 days,9
33884,카드,D-20181005-0000066-01,2018-10-05 오후 6:14,2018-10-14 오전 9:41,99660,1236.0,1,네이버 페이,2018-10-05,2018,10,Friday,40,주중,2018-10-05,2018-10-14,9 days,9
33980,카드,D-20181006-0000013-01,2018-10-10 오전 10:38,2018-10-18 오전 2:39,88770,478.0,1,네이버 페이,2018-10-06,2018,10,Saturday,40,주말,2018-10-10,2018-10-18,8 days,8
33999,카드,D-20181006-0000113-01,2018-10-10 오전 10:38,2018-10-20 오전 2:02,215820,1059.0,2,네이버 페이,2018-10-06,2018,10,Saturday,40,주말,2018-10-10,2018-10-20,10 days,10
34115,카드,D-20181008-0000233-01,2018-10-10 오전 10:38,2018-10-17 오후 5:46,78870,603.0,1,네이버 페이,2018-10-08,2018,10,Monday,41,주중,2018-10-10,2018-10-17,7 days,7
34184,카드,D-20181008-0000537-01,2018-10-10 오후 6:10,2018-10-20 오전 4:15,84700,1283.0,2,네이버 페이,2018-10-08,2018,10,Monday,41,주중,2018-10-10,2018-10-20,10 days,10
