Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1468,66754207,렌탈,프로모션계약,홈쇼핑/방송,2019-04-18,60,카드이체,DES-1,105900, 개인,44,서울특별시,서울특별시,계약확정,0,없음,여자,,롯데카드
1469,66760024,렌탈,패키지계약,홈쇼핑/방송,2019-05-25,60,CMS,DES-1,81900, 개인,29,서울특별시,서울특별시,계약확정,0,없음,남자,4,농협중앙회
1470,66760024,렌탈,패키지계약,홈쇼핑/방송,2019-05-25,60,CMS,DES-2,81900, 개인,29,서울특별시,서울특별시,계약확정,0,없음,남자,4,농협중앙회
1471,66758291,렌탈,프로모션계약,영업방판,2019-08-27,60,CMS,DES-1,105900, 개인,49,서울특별시,서울특별시,계약확정,0,없음,여자,5,기업은행
1472,66759719,렌탈,일반계약,영업방판,2019-09-17,60,CMS,DES-R4,126900, 개인,92,서울특별시,서울특별시,계약확정,0,없음,여자,1,하나은행
1473,66420372,멤버십,멤버십3유형,재계약,2019-02-16,12,CMS,DES-1,66900, 개인,45,서울특별시,서울특별시,계약확정,0,없음,남자,1,우리은행
1474,66759655,렌탈,패키지계약,홈쇼핑/방송,2019-02-25,60,카드이체,DES-1,98400, 개인,45,서울특별시,서울특별시,계약확정,0,없음,여자,2,롯데카드
1475,66759655,렌탈,패키지계약,홈쇼핑/방송,2019-01-21,60,카드이체,DES-2,80400, 개인,45,서울특별시,서울특별시,계약확정,0,없음,여자,2,롯데카드
1476,66711560,렌탈,프로모션계약,영업방판,2019-03-06,60,CMS,DES-1,102900, 개인,72,서울특별시,서울특별시,계약확정,0,없음,남자,7,기업은행
1477,66759767,렌탈,일반계약,홈쇼핑/방송,2019-04-29,60,카드이체,DES-1,96900, 개인,40,서울특별시,서울특별시,계약확정,0,없음,여자,1,BC카드
1478,66757013,렌탈,프로모션계약,영업방판,2019-04-15,60,CMS,DES-1,105900, 개인,50,서울특별시,서울특별시,계약확정,0,없음,여자,1,국민은행
1479,66759988,렌탈,패키지계약,홈쇼핑/방송,2019-05-02,60,카드이체,DES-1,81900, 개인,37,서울특별시,서울특별시,계약확정,0,없음,여자,2,롯데카드
1480,66759988,렌탈,패키지계약,홈쇼핑/방송,2019-05-02,60,카드이체,DES-2,81900, 개인,37,서울특별시,서울특별시,계약확정,0,없음,여자,2,롯데카드
1481,66759594,렌탈,패키지계약,홈쇼핑/방송,2019-05-20,60,CMS,DES-1,81900, 개인,41,서울특별시,서울특별시,계약확정,0,없음,여자,7,신한은행
1482,66759594,렌탈,패키지계약,홈쇼핑/방송,2019-06-26,60,CMS,DES-2,81900, 개인,41,서울특별시,서울특별시,계약확정,0,없음,여자,7,신한은행
