결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일
무통장입금,D-20180514-0000643-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,85900,46,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000643-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,73910,45,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000643-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1136,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000657-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,68130,951,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000657-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1136,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000679-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,120600,40,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000679-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,587,1,PC쇼핑몰,20180514
"쿠폰,무통장입금",D-20180514-0000683-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,68130,951,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000698-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,102500,1059,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000698-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,584,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000700-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,61970,455,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000718-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,55480,248,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000718-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1136,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000698-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,82600,1058,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000722-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,68130,951,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000722-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,587,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000735-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,102500,1060,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000735-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,82600,1057,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000735-02,2018-05-16 오전 8:25,2018-05-20 오전 5:32,82600,1105,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000735-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,587,1,PC쇼핑몰,20180514
카드,D-20180514-0000752-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,61970,455,1,모바일웹,20180514
무통장입금,D-20180514-0000766-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,75390,962,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000766-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,75390,966,1,PC쇼핑몰,20180514
카드,D-20180514-0000771-01,2018-05-16 오전 8:26,2018-05-25 오전 2:57,92520,215,3,네이버 페이,20180514
무통장입금,D-20180514-0000785-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,152110,600,1,모바일웹,20180514
무통장입금,D-20180514-0000785-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,584,1,모바일웹,20180514
무통장입금,D-20180514-0000816-00,2018-05-23 오전 9:11,2018-05-27 오전 5:32,109600,68,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000816-00,2018-05-23 오전 9:11,2018-05-27 오전 5:32,0,357,1,PC쇼핑몰,20180514
